X	Y	Z	Label (0=S1,1=S2,4=IB)
-0.349245	-2.774553	-0.816550	0.000000
-0.505300	-2.739203	-0.868080	0.000000
-0.379778	-2.647679	-0.948450	0.000000
-0.437565	-2.715008	-0.816450	0.000000
-0.473972	-2.593455	-0.888255	0.000000
-0.466772	-2.650817	-0.862846	0.000000
-0.515934	-2.697474	-0.979945	0.000000
-0.488776	-2.694199	-0.896509	0.000000
-0.427621	-2.690477	-0.859246	0.000000
-0.389476	-2.649017	-0.911918	0.000000
-0.446660	-2.719792	-0.926149	0.000000
-0.509936	-2.705481	-0.945449	0.000000
-0.456339	-2.685031	-0.865921	0.000000
-0.530931	-2.594130	-0.934011	0.000000
-0.492520	-2.615930	-0.938648	0.000000
-0.421275	-2.634074	-0.900449	0.000000
-0.491819	-2.655658	-0.776964	0.000000
-0.441241	-2.697277	-0.935282	0.000000
-0.492900	-2.634425	-0.905202	0.000000
-0.456100	-2.640078	-0.922576	0.000000
-0.519678	-2.751853	-0.859311	0.000000
-0.500014	-2.665036	-0.869523	0.000000
-0.570078	-2.656453	-0.835566	0.000000
-0.370531	-2.598283	-0.901011	0.000000
-0.496751	-2.497073	-0.869216	0.000000
-0.445220	-2.663572	-0.818843	0.000000
-0.519997	-2.688659	-0.801956	0.000000
-0.487602	-2.718613	-0.881830	0.000000
-0.557538	-2.712025	-0.837590	0.000000
-0.464336	-2.555578	-0.821180	0.000000
-0.519517	-2.526238	-0.937514	0.000000
-0.552554	-2.640400	-0.831426	0.000000
-0.483549	-2.626948	-0.876849	0.000000
-0.474862	-2.659970	-0.844043	0.000000
-0.506769	-2.622163	-0.827058	0.000000
-0.517270	-2.586347	-0.875552	0.000000
-0.564783	-2.603671	-0.920338	0.000000
-0.581144	-2.573275	-0.855110	0.000000
-0.520500	-2.662956	-0.826774	0.000000
-0.471185	-2.662554	-0.926204	0.000000
-0.484096	-2.590647	-0.823826	0.000000
-0.497026	-2.560645	-0.809698	0.000000
-0.467958	-2.582929	-0.843860	0.000000
-0.519843	-2.665284	-0.803385	0.000000
-0.506104	-2.551921	-0.843916	0.000000
-0.480043	-2.475759	-0.790251	0.000000
-0.449581	-2.612833	-0.846655	0.000000
-0.546858	-2.546166	-0.752546	0.000000
-0.497127	-2.626992	-0.892203	0.000000
-0.557652	-2.483537	-0.872958	0.000000
-0.623040	-2.592336	-0.861067	0.000000
-0.541614	-2.500440	-0.788905	0.000000
-0.510864	-2.543621	-0.826542	0.000000
-0.629910	-2.591934	-0.734886	0.000000
-0.541685	-2.602482	-0.923676	0.000000
-0.596022	-2.611450	-0.810061	0.000000
-0.626925	-2.596571	-0.958374	0.000000
-0.577204	-2.539132	-0.835870	0.000000
-0.601597	-2.559042	-0.822122	0.000000
-0.487733	-2.510006	-0.894127	0.000000
-0.452630	-2.572050	-0.812224	0.000000
-0.557616	-2.654288	-0.893447	0.000000
-0.633577	-2.521041	-0.855768	0.000000
-0.476770	-2.473259	-0.725700	0.000000
-0.539100	-2.509914	-0.893917	0.000000
-0.547334	-2.522952	-0.769656	0.000000
-0.645789	-2.541647	-0.833634	0.000000
-0.595070	-2.528832	-0.856145	0.000000
-0.601096	-2.617071	-0.770307	0.000000
-0.602584	-2.537208	-0.855026	0.000000
-0.564158	-2.525954	-0.881541	0.000000
-0.600913	-2.472120	-0.787586	0.000000
-0.659465	-2.532656	-0.823904	0.000000
-0.560816	-2.562173	-0.787223	0.000000
-0.555570	-2.427064	-0.899834	0.000000
-0.660414	-2.506118	-0.928052	0.000000
-0.605353	-2.521706	-0.762421	0.000000
-0.531554	-2.546794	-0.796097	0.000000
-0.617424	-2.541199	-0.770972	0.000000
-0.721345	-2.524871	-0.839903	0.000000
-0.498501	-2.474805	-0.852837	0.000000
-0.609028	-2.470073	-0.752548	0.000000
-0.491866	-2.557600	-0.850613	0.000000
-0.652912	-2.461946	-0.795476	0.000000
-0.562902	-2.533732	-0.714064	0.000000
-0.614458	-2.537171	-0.825585	0.000000
-0.640613	-2.474360	-0.788857	0.000000
-0.662460	-2.452050	-0.717475	0.000000
-0.576381	-2.462633	-0.812350	0.000000
-0.602048	-2.450267	-0.788851	0.000000
-0.612625	-2.565836	-0.791265	0.000000
-0.647791	-2.506686	-0.842362	0.000000
-0.607505	-2.474395	-0.794658	0.000000
-0.588862	-2.418932	-0.812967	0.000000
-0.694902	-2.411590	-0.821191	0.000000
-0.634245	-2.406933	-0.715538	0.000000
-0.551583	-2.485396	-0.759559	0.000000
-0.660753	-2.414187	-0.700769	0.000000
-0.643140	-2.346001	-0.715199	0.000000
-0.593798	-2.405917	-0.814557	0.000000
-0.511402	-2.441406	-0.884133	0.000000
-0.587088	-2.496686	-0.713592	0.000000
-0.567885	-2.374424	-0.762618	0.000000
-0.746027	-2.337939	-0.707088	0.000000
-0.649826	-2.400871	-0.831908	0.000000
-0.681189	-2.502038	-0.713251	0.000000
-0.626023	-2.407846	-0.728642	0.000000
-0.633398	-2.390246	-0.689059	0.000000
-0.561530	-2.324734	-0.700283	0.000000
-0.697362	-2.429913	-0.644524	0.000000
-0.738485	-2.320647	-0.795096	0.000000
-0.664650	-2.457023	-0.788556	0.000000
-0.713330	-2.480381	-0.757471	0.000000
-0.674969	-2.423969	-0.777558	0.000000
-0.835158	-2.469695	-0.810183	0.000000
-0.763714	-2.460014	-0.711798	0.000000
-0.680069	-2.463130	-0.829504	0.000000
-0.748060	-2.375428	-0.780039	0.000000
-0.748472	-2.403186	-0.694925	0.000000
-0.723070	-2.349297	-0.644260	0.000000
-0.606614	-2.516889	-0.686302	0.000000
-0.684179	-2.344394	-0.746879	0.000000
-0.636721	-2.395735	-0.810853	0.000000
-0.712786	-2.432120	-0.694176	0.000000
-0.676239	-2.474374	-0.655844	0.000000
-0.674322	-2.324096	-0.814749	0.000000
-0.670814	-2.404354	-0.711030	0.000000
-0.765441	-2.333166	-0.798190	0.000000
-0.712612	-2.298943	-0.869970	0.000000
-0.732230	-2.345027	-0.697119	0.000000
-0.654732	-2.390258	-0.688005	0.000000
-0.679506	-2.293894	-0.741553	0.000000
-0.622569	-2.285131	-0.637705	0.000000
-0.777746	-2.343895	-0.697721	0.000000
-0.740530	-2.304088	-0.698875	0.000000
-0.706146	-2.366132	-0.680604	0.000000
-0.711366	-2.219206	-0.685031	0.000000
-0.738185	-2.342985	-0.782268	0.000000
-0.722565	-2.218736	-0.612894	0.000000
-0.663007	-2.300811	-0.666891	0.000000
-0.739666	-2.376281	-0.774079	0.000000
-0.744375	-2.308932	-0.686594	0.000000
-0.727421	-2.267402	-0.720299	0.000000
-0.722790	-2.357218	-0.673853	0.000000
-0.646972	-2.307525	-0.745681	0.000000
-0.677503	-2.353031	-0.657410	0.000000
-0.669037	-2.460737	-0.667566	0.000000
-0.728118	-2.348280	-0.673327	0.000000
-0.833589	-2.256311	-0.683232	0.000000
-0.700185	-2.344594	-0.741528	0.000000
-0.713391	-2.374575	-0.689852	0.000000
-0.767005	-2.334752	-0.622381	0.000000
-0.757967	-2.291895	-0.655430	0.000000
-0.802186	-2.382759	-0.754472	0.000000
-0.809427	-2.266944	-0.724039	0.000000
-0.779002	-2.207514	-0.660849	0.000000
-0.831080	-2.345316	-0.681458	0.000000
-0.803436	-2.251173	-0.808735	0.000000
-0.797277	-2.402284	-0.688017	0.000000
-0.774886	-2.305718	-0.668292	0.000000
-0.694404	-2.307632	-0.658299	0.000000
-0.760732	-2.373436	-0.649225	0.000000
-0.768481	-2.325749	-0.617302	0.000000
-0.692670	-2.250965	-0.686682	0.000000
-0.709690	-2.353325	-0.686670	0.000000
-0.738399	-2.359322	-0.720070	0.000000
-0.731544	-2.194209	-0.640053	0.000000
-0.679416	-2.256184	-0.522519	0.000000
-0.810190	-2.307458	-0.657155	0.000000
-0.796706	-2.328311	-0.703889	0.000000
-0.868420	-2.242978	-0.701126	0.000000
-0.882894	-2.290214	-0.656420	0.000000
-0.699736	-2.364875	-0.704756	0.000000
-0.808479	-2.299886	-0.606927	0.000000
-0.840164	-2.231548	-0.560955	0.000000
-0.825549	-2.279980	-0.550451	0.000000
-0.789248	-2.223752	-0.630515	0.000000
-0.825502	-2.247627	-0.672951	0.000000
-0.834554	-2.213127	-0.596168	0.000000
-0.806695	-2.255327	-0.591422	0.000000
-0.834013	-2.219292	-0.550948	0.000000
-0.709234	-2.273641	-0.655068	0.000000
-0.836050	-2.242357	-0.545522	0.000000
-0.768839	-2.198247	-0.627653	0.000000
-0.835677	-2.214681	-0.628386	0.000000
-0.770625	-2.228516	-0.611754	0.000000
-0.796798	-2.248571	-0.606481	0.000000
-0.853838	-2.190282	-0.627503	0.000000
-0.765714	-2.133805	-0.681780	0.000000
-0.777948	-2.156602	-0.548131	0.000000
-0.913104	-2.123978	-0.619803	0.000000
-0.776788	-2.298807	-0.508362	0.000000
-0.827641	-2.292014	-0.636990	0.000000
-0.675325	-2.238051	-0.632957	0.000000
-0.707764	-2.163650	-0.643021	0.000000
-0.832671	-2.163810	-0.551710	0.000000
-0.848616	-2.188170	-0.593271	0.000000
-0.847629	-2.298492	-0.576765	0.000000
-0.848043	-2.210029	-0.658139	0.000000
-0.763028	-2.231880	-0.594655	0.000000
-0.666828	-2.222950	-0.534672	0.000000
-0.785896	-2.188109	-0.582588	0.000000
-0.838774	-2.111649	-0.586313	0.000000
-0.842274	-2.206603	-0.576268	0.000000
-0.847786	-2.223253	-0.601034	0.000000
-0.777649	-2.162442	-0.564763	0.000000
-0.863241	-2.089830	-0.568869	0.000000
-0.859481	-2.203767	-0.586556	0.000000
-0.827242	-2.105466	-0.588570	0.000000
-0.795997	-2.111275	-0.628808	0.000000
-0.752236	-2.083292	-0.597908	0.000000
-0.816867	-2.174737	-0.534816	0.000000
-0.836411	-2.133580	-0.590967	0.000000
-0.752847	-2.209906	-0.555404	0.000000
-0.819070	-2.165809	-0.595614	0.000000
-0.773534	-2.152972	-0.495010	0.000000
-0.796866	-2.188022	-0.521856	0.000000
-0.876220	-2.115714	-0.535960	0.000000
-0.832170	-2.110664	-0.598140	0.000000
-0.792320	-2.209345	-0.462210	0.000000
-0.852970	-2.244838	-0.477387	0.000000
-0.788548	-2.083605	-0.522816	0.000000
-0.832335	-2.093763	-0.549875	0.000000
-0.887958	-2.082844	-0.508140	0.000000
-0.840435	-2.166212	-0.473803	0.000000
-0.833511	-2.201020	-0.490140	0.000000
-0.765753	-2.090271	-0.541929	0.000000
-0.848656	-2.027998	-0.589836	0.000000
-0.794822	-2.127981	-0.558703	0.000000
-0.891359	-2.095795	-0.571254	0.000000
-0.802262	-2.113581	-0.511878	0.000000
-0.869547	-2.162844	-0.636170	0.000000
-0.879109	-2.116767	-0.524288	0.000000
-0.833828	-2.039512	-0.418430	0.000000
-0.941442	-2.094244	-0.570310	0.000000
-0.916609	-2.178795	-0.487105	0.000000
-0.859217	-2.152578	-0.439672	0.000000
-0.871070	-2.051055	-0.488885	0.000000
-0.934521	-2.150141	-0.572806	0.000000
-0.935471	-2.087561	-0.486343	0.000000
-0.883212	-2.031745	-0.519936	0.000000
-0.875826	-2.104024	-0.576738	0.000000
-0.800132	-2.093708	-0.450123	0.000000
-0.898401	-2.128249	-0.392878	0.000000
-0.918889	-2.028256	-0.481149	0.000000
-0.875058	-2.105739	-0.469387	0.000000
-0.815546	-2.054919	-0.492717	0.000000
-0.904248	-2.078916	-0.496212	0.000000
-0.896952	-2.120909	-0.415627	0.000000
-0.866478	-2.111125	-0.536818	0.000000
-0.861873	-1.970733	-0.520058	0.000000
-0.907517	-2.104220	-0.499653	0.000000
-0.825311	-2.115673	-0.396309	0.000000
-0.923595	-2.042343	-0.433805	0.000000
-0.878074	-2.019927	-0.484592	0.000000
-0.880096	-2.065333	-0.510556	0.000000
-0.821187	-2.049793	-0.501222	0.000000
-0.825717	-2.076257	-0.468487	0.000000
-0.912945	-2.108005	-0.564490	0.000000
-0.908524	-1.965057	-0.445790	0.000000
-0.866418	-2.022306	-0.437977	0.000000
-0.867341	-2.033738	-0.378650	0.000000
-0.871086	-2.012280	-0.417994	0.000000
-0.880624	-1.968351	-0.409368	0.000000
-0.953502	-2.116637	-0.488761	0.000000
-0.927245	-2.050333	-0.533052	0.000000
-0.876860	-2.075351	-0.481216	0.000000
-0.891028	-2.071833	-0.543655	0.000000
-0.899645	-1.928821	-0.445910	0.000000
-0.924150	-1.972924	-0.496142	0.000000
-0.777802	-2.042032	-0.396309	0.000000
-0.952944	-2.084616	-0.261406	0.000000
-0.928097	-1.968547	-0.451059	0.000000
-0.969170	-2.101122	-0.448545	0.000000
-0.912327	-2.022282	-0.457791	0.000000
-0.876913	-2.009154	-0.345897	0.000000
-0.897070	-1.987705	-0.339614	0.000000
-0.846615	-1.983307	-0.401195	0.000000
-0.981032	-1.987480	-0.350325	0.000000
-0.890345	-1.908636	-0.448878	0.000000
-0.850071	-1.977296	-0.375935	0.000000
-0.877663	-2.015868	-0.381391	0.000000
-0.919168	-1.972549	-0.444618	0.000000
-0.956272	-2.060979	-0.422712	0.000000
-0.908322	-1.876260	-0.332752	0.000000
-0.994017	-1.993415	-0.417587	0.000000
-0.888972	-1.975895	-0.461311	0.000000
-0.868081	-2.051547	-0.485634	0.000000
-0.906503	-2.024454	-0.386169	0.000000
-0.953470	-2.069837	-0.406339	0.000000
-0.937387	-2.001119	-0.416725	0.000000
-0.882509	-1.986463	-0.385108	0.000000
-0.921483	-1.937783	-0.382639	0.000000
-0.881833	-1.931192	-0.421248	0.000000
-0.983933	-1.945465	-0.364852	0.000000
-0.897084	-1.872294	-0.335496	0.000000
-0.873573	-1.936212	-0.380994	0.000000
-0.994539	-1.879778	-0.400397	0.000000
-0.879263	-1.983458	-0.343920	0.000000
-0.953678	-1.933666	-0.256109	0.000000
-0.835425	-1.918794	-0.273599	0.000000
-0.898715	-1.982202	-0.331692	0.000000
-0.911283	-2.055948	-0.390561	0.000000
-0.962410	-2.015004	-0.309710	0.000000
-0.949167	-1.862326	-0.406630	0.000000
-0.987037	-1.958895	-0.354088	0.000000
-0.975926	-1.917952	-0.314899	0.000000
-0.855131	-1.906249	-0.293641	0.000000
-0.905570	-1.994598	-0.321788	0.000000
-0.988560	-1.924580	-0.414470	0.000000
-0.871944	-1.939580	-0.392926	0.000000
-1.055232	-1.886069	-0.376537	0.000000
-1.069635	-1.937188	-0.341473	0.000000
-0.947995	-1.985915	-0.294171	0.000000
-1.058826	-1.850119	-0.287717	0.000000
-0.953911	-1.883442	-0.345957	0.000000
-0.973822	-1.845777	-0.337733	0.000000
-0.991024	-1.895684	-0.151247	0.000000
-0.965039	-1.912804	-0.321342	0.000000
-0.951980	-1.847909	-0.294280	0.000000
-0.943752	-1.949505	-0.428413	0.000000
-1.027432	-1.928347	-0.362933	0.000000
-0.951174	-1.907254	-0.279263	0.000000
-0.953745	-1.860009	-0.323119	0.000000
-0.943332	-1.864865	-0.344674	0.000000
-1.025497	-1.931395	-0.272584	0.000000
-0.900181	-1.862694	-0.373106	0.000000
-0.976024	-1.834451	-0.339680	0.000000
-0.969223	-1.826390	-0.275009	0.000000
-0.926210	-1.839879	-0.214037	0.000000
-0.866014	-1.825768	-0.356738	0.000000
-0.956841	-1.831427	-0.297297	0.000000
-0.945270	-1.806404	-0.245477	0.000000
-1.048186	-1.871446	-0.295460	0.000000
-0.923779	-1.912922	-0.334544	0.000000
-1.021316	-1.933942	-0.372366	0.000000
-1.007923	-1.825370	-0.228191	0.000000
-0.960805	-1.874316	-0.282940	0.000000
-0.999293	-1.874527	-0.314537	0.000000
-0.984119	-1.851494	-0.224150	0.000000
-1.014775	-1.779591	-0.228338	0.000000
-1.013079	-1.846715	-0.260898	0.000000
-1.017003	-1.813072	-0.226629	0.000000
-0.946314	-1.854964	-0.377240	0.000000
-0.955766	-1.987550	-0.289361	0.000000
-0.898146	-1.809511	-0.235189	0.000000
-0.924448	-1.806534	-0.269997	0.000000
-0.939927	-1.814580	-0.358005	0.000000
-0.923484	-1.917895	-0.232184	0.000000
-0.942744	-1.840324	-0.239575	0.000000
-0.993387	-1.806292	-0.268814	0.000000
-0.948629	-1.806679	-0.154044	0.000000
-0.988511	-1.816564	-0.281134	0.000000
-0.961879	-1.796521	-0.249617	0.000000
-1.073258	-1.785501	-0.161650	0.000000
-0.895881	-1.720123	-0.262009	0.000000
-0.990576	-1.782597	-0.260768	0.000000
-0.970543	-1.772191	-0.198632	0.000000
-1.005269	-1.769905	-0.231462	0.000000
-0.951883	-1.819487	-0.228917	0.000000
-0.970077	-1.782053	-0.260495	0.000000
-1.021229	-1.826498	-0.200261	0.000000
-0.945616	-1.880208	-0.269132	0.000000
-1.096038	-1.739713	-0.304864	0.000000
-1.015444	-1.926025	-0.242643	0.000000
-0.960254	-1.765179	-0.161732	0.000000
-0.994217	-1.805676	-0.234994	0.000000
-0.980555	-1.827546	-0.143606	0.000000
-1.030819	-1.744342	-0.186433	0.000000
-0.955509	-1.758428	-0.123615	0.000000
-1.035882	-1.839162	-0.207894	0.000000
-1.014082	-1.842274	-0.201988	0.000000
-1.094658	-1.788087	-0.198249	0.000000
-0.993219	-1.698166	-0.257852	0.000000
-0.922581	-1.737960	-0.117854	0.000000
-1.077011	-1.772828	-0.150055	0.000000
-0.939998	-1.736838	-0.161494	0.000000
-0.914092	-1.769610	-0.062910	0.000000
-0.884002	-1.670747	-0.226710	0.000000
-0.995179	-1.731370	-0.110268	0.000000
-0.880429	-1.679532	-0.151236	0.000000
-1.026690	-1.702802	-0.225444	0.000000
-1.008022	-1.678951	-0.227543	0.000000
-0.964504	-1.729916	-0.169730	0.000000
-1.008907	-1.730936	-0.146021	0.000000
-1.005408	-1.718146	-0.188651	0.000000
-1.045718	-1.756181	-0.169492	0.000000
-1.010999	-1.721349	-0.257490	0.000000
-0.932807	-1.754077	-0.066351	0.000000
-0.889635	-1.694726	-0.195841	0.000000
-1.005745	-1.668311	-0.198175	0.000000
-0.997607	-1.690382	-0.075372	0.000000
-0.937385	-1.712632	-0.192688	0.000000
-0.906968	-1.683996	-0.111979	0.000000
-0.961422	-1.683843	-0.084512	0.000000
-1.045448	-1.692749	-0.011720	0.000000
-0.922378	-1.655253	-0.172510	0.000000
-1.010987	-1.698147	-0.098673	0.000000
-0.887659	-1.672031	-0.141327	0.000000
-1.009819	-1.695712	-0.081036	0.000000
-0.961818	-1.749908	-0.050912	0.000000
-1.003233	-1.746192	-0.158886	0.000000
-0.970489	-1.670438	-0.145692	0.000000
-1.006252	-1.619702	-0.117098	0.000000
-0.939873	-1.696466	-0.122292	0.000000
-0.923318	-1.725128	-0.098716	0.000000
-1.064951	-1.731517	-0.113818	0.000000
-1.022000	-1.655518	-0.155303	0.000000
-1.038575	-1.704726	-0.076016	0.000000
-1.005692	-1.709081	-0.141586	0.000000
-0.986007	-1.601679	-0.080471	0.000000
-0.931360	-1.619063	-0.077426	0.000000
-1.072364	-1.692810	-0.074118	0.000000
-1.031640	-1.671140	-0.214093	0.000000
-1.080171	-1.656031	-0.100292	0.000000
-1.028554	-1.768344	-0.147117	0.000000
-1.062733	-1.658006	-0.025363	0.000000
-0.972841	-1.589757	-0.084695	0.000000
-1.070462	-1.733255	-0.106503	0.000000
-0.972791	-1.646570	-0.050802	0.000000
-1.053439	-1.672062	0.040362	0.000000
-1.003792	-1.602647	-0.080902	0.000000
-1.069094	-1.656026	-0.111189	0.000000
-1.100515	-1.593190	0.048730	0.000000
-1.048829	-1.711093	-0.041084	0.000000
-0.943760	-1.616900	-0.084121	0.000000
-0.994881	-1.500299	-0.058704	0.000000
-0.890611	-1.650222	-0.099524	0.000000
-1.042879	-1.642447	-0.018718	0.000000
-0.988938	-1.575912	0.009334	0.000000
