X Y Z Label
0.7255 -0.7283 0.4522 2.0000
0.7427 1.5180 0.7028 0.0000
0.7109 1.0267 0.6787 0.0000
-1.6774 -0.5280 -1.5749 1.0000
0.7055 -0.6829 0.6130 2.0000
0.5999 1.5414 0.7050 0.0000
0.8313 -0.6599 0.7536 2.0000
0.6646 -0.8233 0.6385 2.0000
-1.6282 -0.6664 -1.3877 1.0000
0.5976 -0.8012 0.7428 2.0000
0.7655 1.4680 0.7025 0.0000
-1.4861 -0.5566 -1.2697 1.0000
-1.5414 -0.7091 -1.5913 1.0000
0.6623 -0.8283 0.7422 2.0000
0.7515 -0.9263 0.7744 2.0000
0.6875 -0.6766 0.6442 2.0000
0.8497 -0.5490 0.8711 2.0000
0.7998 1.2901 0.8797 0.0000
0.6281 -0.6007 0.5530 2.0000
0.5273 1.6088 0.8070 0.0000
0.5632 1.2678 0.7882 0.0000
0.4482 -0.9694 0.8694 2.0000
0.8860 1.5137 0.6821 0.0000
0.5106 1.5014 0.7127 0.0000
-1.4275 -0.8747 -1.1813 1.0000
-1.5397 -0.8516 -1.2437 1.0000
0.6073 1.2261 0.7299 0.0000
1.0391 -0.7759 0.6473 2.0000
0.6140 -0.9349 0.8359 2.0000
-1.3593 -0.8819 -1.4607 1.0000
0.6880 -0.5473 0.6697 2.0000
-1.2508 -0.6528 -1.5271 1.0000
0.6726 1.5102 0.4228 0.0000
0.4909 1.4596 0.7286 0.0000
0.4807 -0.7615 0.6696 2.0000
0.5692 1.3283 0.6849 0.0000
0.6471 -0.6925 0.6976 2.0000
0.4650 -0.8001 0.9209 2.0000
0.6229 1.4300 0.7713 0.0000
0.5437 1.4475 0.6827 0.0000
0.7821 1.3927 0.9358 0.0000
0.8054 1.2623 0.7693 0.0000
-1.5067 -0.7723 -1.3093 1.0000
-1.2895 -0.6939 -1.3817 1.0000
0.6390 -0.4839 0.5790 2.0000
-1.4416 -0.5918 -1.2937 1.0000
0.6112 -0.6081 0.5937 2.0000
-1.5104 -0.6698 -1.4321 1.0000
-1.2790 -0.7173 -1.2489 1.0000
0.7786 1.2701 0.6843 0.0000
-1.5483 -0.6509 -1.4066 1.0000
0.6871 1.1973 0.6801 0.0000
0.6255 -0.7068 0.4011 2.0000
0.9578 -0.6754 0.4515 2.0000
0.5920 -0.7691 0.6461 2.0000
0.5957 -0.7011 0.6480 2.0000
0.6880 1.3363 0.7528 0.0000
0.6518 -0.5969 0.7701 2.0000
-1.4079 -0.7492 -1.2497 1.0000
-1.4399 -0.6856 -1.6367 1.0000
-1.5335 -0.5746 -1.5383 1.0000
0.8985 1.2501 0.5172 0.0000
0.6011 1.2305 0.7407 0.0000
0.5380 1.2284 0.6285 0.0000
0.6095 1.3469 0.8360 0.0000
0.5793 -0.8534 0.6343 2.0000
-1.3464 -0.7114 -1.6200 1.0000
0.6631 1.5891 0.8956 0.0000
-1.2849 -0.5047 -1.3471 1.0000
0.5442 1.5152 0.8145 0.0000
-1.2868 -0.9104 -1.5193 1.0000
-1.5618 -0.8178 -1.2254 1.0000
0.8954 -0.6389 0.7971 2.0000
0.7499 1.2539 0.7585 0.0000
-1.6572 -0.7771 -1.2713 1.0000
0.7025 -0.7063 0.6121 2.0000
0.6580 -0.7919 0.5557 2.0000
0.7634 1.5466 0.8854 0.0000
-1.5058 -0.6150 -1.3799 1.0000
0.6711 1.4933 0.9361 0.0000
0.4192 1.4339 0.6313 0.0000
0.6736 1.2803 0.6857 0.0000
0.7743 -0.6125 0.6199 2.0000
0.6585 -0.3968 0.7489 2.0000
-1.3456 -0.7939 -1.4534 1.0000
-1.1587 -0.5565 -1.2343 1.0000
0.7748 1.0630 0.6227 0.0000
-1.4403 -0.5348 -1.2815 1.0000
0.4992 1.4585 0.6292 0.0000
0.7107 1.5837 0.7541 0.0000
0.5847 1.2993 0.6846 0.0000
-1.4113 -0.8648 -1.5506 1.0000
-1.5068 -0.5945 -1.3076 1.0000
-1.3183 -0.7867 -1.4694 1.0000
0.6638 -0.7405 0.7556 2.0000
0.8193 -0.7139 0.7383 2.0000
0.7721 1.5489 0.8229 0.0000
-1.4177 -0.7247 -1.4008 1.0000
0.5728 -0.7214 0.4208 2.0000
0.5023 1.5768 0.6251 0.0000
0.9654 -0.9647 0.6011 2.0000
0.8706 -0.5522 0.6662 2.0000
-1.3403 -0.7023 -1.5288 1.0000
-1.3628 -0.6684 -1.3679 1.0000
0.5885 -0.8071 0.6581 2.0000
-1.3575 -0.7255 -1.4132 1.0000
0.7184 1.4082 0.6579 0.0000
0.7853 -0.5554 0.7045 2.0000
0.7222 1.7830 0.7488 0.0000
0.7126 -0.6989 0.7357 2.0000
-1.5399 -0.7837 -1.5239 1.0000
-1.2716 -0.6801 -1.3982 1.0000
0.9121 -0.4320 0.6281 2.0000
-1.2982 -0.4267 -1.2933 1.0000
-1.3282 -0.6223 -1.3863 1.0000
-1.1730 -0.6339 -1.5233 1.0000
0.5551 1.0459 0.6000 0.0000
0.6550 -0.7291 0.7962 2.0000
0.8129 1.3441 0.7209 0.0000
-1.2959 -0.8698 -1.3849 1.0000
-1.3441 -0.7698 -1.5376 1.0000
-1.4345 -0.8350 -1.4306 1.0000
0.7907 -0.6670 0.7866 2.0000
0.5141 1.3117 0.8530 0.0000
0.8324 1.3375 0.8689 0.0000
0.7248 1.3927 0.7574 0.0000
0.7182 1.5127 0.7899 0.0000
-1.1994 -0.7905 -1.3035 1.0000
0.6763 -0.7236 0.6739 2.0000
0.7610 -0.6640 0.5694 2.0000
0.6639 1.4416 0.6966 0.0000
0.7338 1.4696 0.5024 0.0000
0.6911 1.5322 0.7480 0.0000
0.9783 -0.6880 0.8285 2.0000
0.5953 -0.6918 0.6796 2.0000
0.4460 1.0468 0.8052 0.0000
-1.4845 -0.5827 -1.7478 1.0000
-1.5590 -0.6430 -1.5152 1.0000
0.6659 1.6170 0.8718 0.0000
-1.3895 -0.6632 -1.5297 1.0000
-1.3705 -0.6910 -1.3661 1.0000
0.7168 -0.6580 0.7004 2.0000
0.7311 -0.7361 0.4868 2.0000
0.7175 -0.5533 0.7460 2.0000
0.6821 1.5440 0.4253 0.0000
0.7024 1.2818 0.8671 0.0000
0.8445 1.3068 0.8994 0.0000
-1.5228 -0.7813 -1.6550 1.0000
0.7519 1.3760 0.8784 0.0000
-1.2781 -0.7425 -1.6235 1.0000
0.8501 1.4321 0.8321 0.0000
-1.3572 -0.9021 -1.3534 1.0000
0.7488 1.5112 0.6164 0.0000
0.5751 -0.7733 0.6711 2.0000
0.7790 1.2967 0.5669 0.0000
-1.3391 -0.8313 -1.3836 1.0000
-1.4817 -0.7429 -1.6709 1.0000
-1.2906 -0.6847 -1.3671 1.0000
0.6486 -0.8587 0.3891 2.0000
0.5974 -0.7546 0.8108 2.0000
-1.5022 -0.7615 -1.4496 1.0000
-1.3228 -0.7458 -1.3638 1.0000
0.8492 -0.8993 0.7681 2.0000
0.7381 1.4285 1.0428 0.0000
0.8044 -0.6023 0.7150 2.0000
-1.3820 -0.7399 -1.4183 1.0000
0.5406 -0.5561 0.3458 2.0000
0.4719 -0.6129 0.7305 2.0000
0.8634 1.3143 0.7965 0.0000
0.6866 -0.7136 0.8684 2.0000
0.7451 1.3175 0.8160 0.0000
-1.6223 -0.7014 -1.4115 1.0000
-1.4126 -0.7309 -1.2822 1.0000
0.9015 -0.6764 0.5232 2.0000
-1.3070 -0.7030 -1.6385 1.0000
0.5523 1.3802 0.9637 0.0000
0.8600 -1.0560 0.6913 2.0000
0.9011 -0.7054 0.7382 2.0000
0.8243 1.5555 1.0297 0.0000
0.7922 1.4070 0.5817 0.0000
0.8171 -0.9037 0.7281 2.0000
0.7132 1.6636 0.7374 0.0000
0.7563 -0.4625 0.5787 2.0000
-1.6017 -0.8461 -1.3919 1.0000
0.6616 -0.5901 0.6255 2.0000
-1.6422 -0.4777 -1.4597 1.0000
0.6816 -0.6999 0.5120 2.0000
0.7300 -0.6180 0.4653 2.0000
0.6517 1.4737 0.8131 0.0000
0.4314 -0.4381 0.6295 2.0000
-1.2953 -0.5571 -1.4688 1.0000
0.6491 -0.6875 0.6577 2.0000
0.6299 1.2319 0.6911 0.0000
0.5554 1.4895 0.7608 0.0000
0.7512 1.2457 0.8183 0.0000
0.7159 -0.5647 0.6578 2.0000
0.5779 1.3549 0.8588 0.0000
-1.5100 -0.6203 -1.4536 1.0000
0.8181 -0.6152 0.7179 2.0000
-1.4216 -0.5317 -1.4288 1.0000
-1.4506 -0.5605 -1.2029 1.0000
0.6463 -0.4504 0.6466 2.0000
0.8743 1.4873 0.6812 0.0000
-1.4378 -0.7657 -1.2040 1.0000
-1.4686 -0.7309 -1.2990 1.0000
-1.3276 -0.8069 -1.3327 1.0000
-1.5492 -0.7541 -1.3373 1.0000
0.7547 -0.6831 0.6084 2.0000
0.9380 -0.8260 0.7325 2.0000
0.6772 -0.4309 0.7069 2.0000
-1.4634 -0.7689 -1.5564 1.0000
-1.5731 -0.7473 -1.2604 1.0000
0.6453 1.4701 0.6695 0.0000
-1.4592 -0.3314 -1.3132 1.0000
-1.4925 -0.6170 -1.3111 1.0000
0.8000 -0.5406 0.5980 2.0000
0.7874 1.2446 0.9176 0.0000
0.8402 -0.5009 0.7882 2.0000
-1.5093 -0.6122 -1.3481 1.0000
-1.3488 -0.9349 -1.4430 1.0000
0.5983 -0.8003 0.8343 2.0000
-1.3155 -0.7074 -1.2324 1.0000
0.5656 -0.7103 0.6737 2.0000
-1.4184 -1.0034 -1.3601 1.0000
0.6583 -0.7814 0.6439 2.0000
0.6635 -0.5703 0.6601 2.0000
-1.5133 -0.3624 -1.3742 1.0000
0.6174 -0.8754 0.6204 2.0000
0.8028 -0.7425 0.7086 2.0000
-1.5125 -0.6313 -1.2163 1.0000
0.8479 1.4520 0.6887 0.0000
-1.5994 -0.6815 -1.3478 1.0000
-1.4440 -0.4320 -1.4167 1.0000
0.7806 -0.6769 0.6269 2.0000
0.8043 -0.5487 0.7688 2.0000
0.8029 -0.9092 0.5489 2.0000
0.6098 1.2427 0.8259 0.0000
0.6493 1.2844 0.7559 0.0000
0.7131 1.3441 0.4771 0.0000
0.6123 -0.9087 0.5613 2.0000
0.6294 1.4659 0.3705 0.0000
-1.1486 -0.7204 -1.4779 1.0000
0.7517 -0.7577 0.5218 2.0000
0.7373 1.2157 0.8643 0.0000
-1.4066 -0.7516 -1.2348 1.0000
-1.4522 -0.8427 -1.4506 1.0000
0.6966 -0.7944 0.6967 2.0000
0.7052 -0.7883 0.7478 2.0000
0.7567 -0.5067 0.8415 2.0000
0.7512 -0.8100 0.6162 2.0000
0.6073 -0.7109 0.6924 2.0000
0.6344 -0.7984 0.5117 2.0000
0.7438 1.7230 0.4697 0.0000
0.6328 -0.7652 0.4954 2.0000
0.6680 1.5955 0.3671 0.0000
0.6533 1.3130 0.7427 0.0000
0.7657 -0.5474 0.4469 2.0000
0.5492 1.5175 0.7386 0.0000
-1.5616 -0.7678 -1.3784 1.0000
0.5978 1.3990 0.6820 0.0000
0.4171 1.3284 0.7290 0.0000
-1.4541 -0.6542 -1.5219 1.0000
0.5399 1.4320 0.8367 0.0000
0.4384 1.3647 0.9101 0.0000
-1.3577 -0.8725 -1.4361 1.0000
-1.5140 -0.6274 -1.6093 1.0000
-1.4900 -0.7782 -1.3757 1.0000
-1.4296 -0.5412 -1.4121 1.0000
0.6513 -0.6137 0.6152 2.0000
0.7658 1.4459 0.7236 0.0000
0.6649 -0.6896 0.6077 2.0000
-1.3959 -0.7273 -1.2516 1.0000
-1.5426 -0.6394 -1.4827 1.0000
0.6725 -0.6741 0.6533 2.0000
0.6776 -0.6086 0.6246 2.0000
-1.0590 -0.7330 -1.2654 1.0000
0.6068 -0.6016 0.9021 2.0000
0.6843 -0.4732 0.5826 2.0000
0.5749 1.4368 0.5527 0.0000
0.9117 -0.8696 0.7632 2.0000
0.7799 1.6926 0.7253 0.0000
1.1948 1.1415 0.9204 0.0000
0.7475 -0.7718 0.5147 2.0000
0.8960 -0.5305 0.7952 2.0000
-1.5288 -0.6960 -1.3913 1.0000
-1.5879 -0.6866 -1.4016 1.0000
0.6383 -0.5286 0.7524 2.0000
-1.4858 -0.7158 -1.3527 1.0000
0.7763 1.5169 0.6451 0.0000
0.4059 -0.6496 0.6869 2.0000
-1.5773 -0.6022 -1.3745 1.0000
0.7764 -0.7393 0.5277 2.0000
0.7678 -0.5844 0.7270 2.0000
0.8524 1.5348 0.7772 0.0000
0.8461 -0.6395 0.5012 2.0000
0.7077 -0.5242 0.7365 2.0000
0.6694 1.5272 0.8527 0.0000
0.7144 1.2232 0.8185 0.0000
0.7765 1.2432 0.9242 0.0000
0.5812 -0.8291 0.5864 2.0000
0.5744 -0.8800 0.5911 2.0000
0.7645 1.5356 0.6191 0.0000
0.8946 1.3434 0.5608 0.0000
-1.4464 -0.8908 -1.3723 1.0000
0.7566 1.2064 0.5598 0.0000
-1.5017 -0.5954 -1.4135 1.0000
0.6768 1.3888 0.7078 0.0000
-1.3295 -0.7325 -1.4593 1.0000
0.7380 1.4840 0.5583 0.0000
0.6771 1.3601 0.8516 0.0000
-1.4195 -0.8200 -1.3932 1.0000
0.8596 -0.7281 0.6264 2.0000
0.9275 -0.7334 0.6554 2.0000
0.8066 1.4045 0.8513 0.0000
0.8256 1.6207 0.4952 0.0000
0.3867 1.3219 0.7596 0.0000
0.8561 1.2035 0.6265 0.0000
-1.2236 -0.6475 -1.4009 1.0000
0.5957 -0.6290 0.6541 2.0000
-1.3640 -0.7232 -1.3500 1.0000
0.6414 -0.8356 0.8292 2.0000
0.6295 1.0345 0.9619 0.0000
0.6129 1.2273 0.6918 0.0000
0.7025 1.6174 0.7436 0.0000
-1.6650 -0.8840 -1.3823 1.0000
-1.5011 -0.5760 -1.4105 1.0000
0.7844 1.4902 0.7509 0.0000
0.6046 -0.6251 0.8447 2.0000
0.7633 1.2815 0.7149 0.0000
0.5737 1.4314 0.7111 0.0000
-1.2740 -0.5612 -1.5477 1.0000
-1.4698 -0.7781 -1.4832 1.0000
0.6690 -0.5561 0.6403 2.0000
0.5990 1.5941 0.6680 0.0000
0.8583 1.5249 0.5884 0.0000
-1.5931 -0.7399 -1.5309 1.0000
-1.2769 -0.6660 -1.5026 1.0000
-1.3078 -0.6232 -1.3721 1.0000
0.7777 1.5576 0.6847 0.0000
0.8176 1.2257 0.4797 0.0000
0.7882 -0.9073 0.6670 2.0000
0.5776 -0.6449 0.8173 2.0000
0.6585 1.3065 0.8705 0.0000
0.6018 -0.7656 0.4428 2.0000
0.5962 1.3645 0.7545 0.0000
0.7884 -0.7993 0.7659 2.0000
0.7102 -0.6885 0.5815 2.0000
-1.1336 -0.8127 -1.4457 1.0000
0.6125 -0.5525 0.8138 2.0000
-1.5690 -0.8128 -1.2307 1.0000
0.6845 1.2705 0.7011 0.0000
0.6902 1.3672 0.5752 0.0000
0.7372 -0.8941 0.5702 2.0000
0.5188 -0.6862 0.7325 2.0000
-1.4178 -0.6525 -1.4028 1.0000
-1.4774 -0.5901 -1.5093 1.0000
1.0548 1.3920 0.7520 0.0000
0.6455 -0.6338 0.7554 2.0000
0.7680 1.2740 0.6782 0.0000
0.6874 1.3295 0.5801 0.0000
0.6539 1.3556 0.5857 0.0000
0.6209 1.5993 0.6346 0.0000
0.7451 -0.6219 0.7647 2.0000
-1.4483 -0.4839 -1.3506 1.0000
-1.6647 -0.4454 -1.3852 1.0000
-1.4681 -0.4518 -1.1730 1.0000
0.6861 -0.7304 0.5822 2.0000
-1.3509 -0.8527 -1.2875 1.0000
-1.3206 -0.8607 -1.5948 1.0000
0.6318 -0.5875 0.7966 2.0000
-1.6317 -0.6726 -1.2928 1.0000
0.7575 -0.7178 0.6125 2.0000
0.7483 1.4263 0.7646 0.0000
0.9391 -0.4969 0.7581 2.0000
0.6601 -0.7724 0.6913 2.0000
0.8743 -0.8740 0.8104 2.0000
0.6721 -0.6572 0.7038 2.0000
-1.5178 -0.7730 -1.4405 1.0000
-1.1788 -1.0213 -1.5020 1.0000
0.7363 1.3277 0.7480 0.0000
0.7626 1.4242 0.7484 0.0000
0.8774 -0.8080 1.0777 2.0000
0.6704 1.3537 0.6347 0.0000
0.7214 1.4611 0.5644 0.0000
-1.5915 -0.7061 -1.3678 1.0000
-1.2642 -0.6753 -1.3281 1.0000
-1.4748 -0.8931 -1.4064 1.0000
0.7176 1.2678 0.5925 0.0000
0.8356 -0.7044 0.8110 2.0000
0.4661 1.4816 0.7400 0.0000
0.6843 -0.8396 0.5950 2.0000
-1.5570 -0.5224 -1.6400 1.0000
0.5952 -0.7545 0.9414 2.0000
0.6841 -0.6675 0.6975 2.0000
0.7070 -0.6207 0.7420 2.0000
0.7816 -0.6151 0.7937 2.0000
-1.3870 -0.7883 -1.6883 1.0000
0.6674 -0.6994 0.5649 2.0000
0.6574 1.4520 0.6867 0.0000
-1.5864 -0.8073 -1.5482 1.0000
0.7787 -0.4967 0.6805 2.0000
-1.5378 -0.4138 -1.1687 1.0000
0.8954 1.3061 0.6616 0.0000
0.7466 1.3554 0.7059 0.0000
0.5579 -0.7123 0.4211 2.0000
-1.6113 -0.6647 -1.3447 1.0000
-1.5460 -0.5036 -1.4553 1.0000
-1.4713 -0.8047 -1.3997 1.0000
-1.3109 -0.7137 -1.4397 1.0000
0.6532 -0.8412 0.6829 2.0000
0.6277 -0.7054 0.6214 2.0000
0.7416 1.3382 0.7672 0.0000
-1.3753 -0.4917 -1.6027 1.0000
0.6936 -0.5126 0.5363 2.0000
-1.5882 -0.6119 -1.3171 1.0000
-1.2677 -0.7463 -1.5744 1.0000
0.6841 -0.6440 0.3581 2.0000
0.4368 1.3837 0.6687 0.0000
-1.2694 -0.7863 -1.6408 1.0000
-1.4753 -0.5997 -1.3624 1.0000
-1.2233 -0.5091 -1.2060 1.0000
0.5399 -0.6136 0.4561 2.0000
-1.2918 -0.6704 -1.2387 1.0000
0.8808 -0.7919 0.7692 2.0000
0.8291 1.4368 0.8344 0.0000
0.6471 -0.6472 0.7601 2.0000
0.7761 1.3364 0.6817 0.0000
0.8466 -0.6810 0.5325 2.0000
-1.3005 -0.7747 -1.7630 1.0000
0.6691 1.5300 0.6123 0.0000
0.5999 1.2850 0.5198 0.0000
-1.3587 -0.5996 -1.4256 1.0000
0.4508 1.4999 0.5667 0.0000
0.6052 1.4634 0.6166 0.0000
0.6859 1.2408 0.7317 0.0000
0.5577 1.4652 0.5852 0.0000
0.5792 -0.9259 0.6757 2.0000
0.7753 -0.7103 0.7817 2.0000
-1.2805 -0.7738 -1.6416 1.0000
-1.3903 -0.5528 -1.5743 1.0000
-1.5616 -0.8416 -1.0811 1.0000
-1.6469 -0.6455 -1.2723 1.0000
-1.5059 -0.9245 -1.3850 1.0000
0.7410 1.1769 0.3999 0.0000
0.6028 1.4532 0.8578 0.0000
0.7649 1.4279 0.7466 0.0000
-1.5485 -0.5778 -1.4931 1.0000
0.6387 -0.6807 0.6754 2.0000
0.7861 1.5934 0.6290 0.0000
0.6190 -0.5632 0.7516 2.0000
0.4702 -0.7973 0.6230 2.0000
-1.2856 -0.7324 -1.2232 1.0000
0.7044 -0.7638 0.6793 2.0000
0.6723 1.3702 0.7412 0.0000
-1.4572 -0.7910 -1.3457 1.0000
0.6467 1.3331 0.7440 0.0000
0.9642 1.6070 0.7881 0.0000
0.6116 -0.8979 0.7912 2.0000
0.6430 -0.4113 0.6133 2.0000
0.6535 1.5029 0.3422 0.0000
0.3994 1.3425 0.8410 0.0000
0.5625 1.3652 0.8557 0.0000
0.8628 1.3550 0.5629 0.0000
0.7025 1.4492 0.6341 0.0000
0.6982 -0.7778 0.6552 2.0000
-1.1772 -0.3505 -1.3933 1.0000
-1.4396 -0.6891 -1.2694 1.0000
-1.4625 -0.7470 -1.2756 1.0000
0.5903 -0.8963 0.7509 2.0000
0.7488 -0.6350 0.9048 2.0000
0.7700 1.2962 0.7061 0.0000
0.9199 -0.7116 0.4931 2.0000
0.7557 -0.5892 0.7289 2.0000
0.7221 -0.4118 0.6083 2.0000
-1.4251 -0.7270 -1.5871 1.0000
-1.6041 -0.4649 -1.4256 1.0000
0.5770 -0.7104 0.6047 2.0000
0.6368 -0.8321 0.6227 2.0000
-1.5271 -0.9266 -1.4612 1.0000
0.8004 -0.6153 0.8488 2.0000
-1.5540 -0.4259 -1.3078 1.0000
-1.4860 -0.6000 -1.5251 1.0000
0.7015 1.2392 0.5676 0.0000
-1.3701 -0.5564 -1.3258 1.0000
0.6831 -0.6044 0.8506 2.0000
0.4814 -0.6610 0.7211 2.0000
0.7617 -0.4021 0.8292 2.0000
0.7989 1.3193 0.6621 0.0000
0.6945 1.4283 0.6176 0.0000
-1.2975 -0.7956 -1.3980 1.0000
0.7637 1.3381 0.6021 0.0000
-1.4310 -0.6776 -1.5751 1.0000
0.7762 1.3556 0.5736 0.0000
-1.4343 -0.8505 -1.6344 1.0000
0.5947 1.3283 0.6341 0.0000
0.7548 -0.7443 0.9047 2.0000
0.6999 -0.7985 0.6929 2.0000
0.8381 -0.5474 0.9387 2.0000
0.5484 -0.4436 0.6428 2.0000
0.7462 -0.6729 0.6260 2.0000
0.6399 -0.6386 0.9074 2.0000
-1.3633 -0.8866 -1.3486 1.0000
-1.3706 -0.6054 -1.4974 1.0000
0.5231 1.2806 0.7274 0.0000
0.9735 1.2251 0.4682 0.0000
0.6836 1.5097 0.6471 0.0000
-1.2792 -0.7110 -1.5174 1.0000
-1.3866 -0.7610 -1.5278 1.0000
0.7236 -0.6328 0.6772 2.0000
-1.4600 -0.7691 -1.3521 1.0000
0.6941 -0.8769 0.7423 2.0000
-1.7071 -0.7272 -1.4309 1.0000
0.5528 -0.7228 0.4833 2.0000
0.5284 1.4292 0.6186 0.0000
-1.4843 -0.6200 -1.2919 1.0000
0.4621 1.3480 0.3959 0.0000
0.7510 -0.7217 0.5940 2.0000
-1.7649 -0.4923 -1.5188 1.0000
-1.4724 -0.7137 -1.4122 1.0000
0.8405 1.4957 0.7931 0.0000
-1.2646 -0.6665 -1.4907 1.0000
0.7635 -0.5505 0.5135 2.0000
-1.2390 -0.7159 -1.1861 1.0000
0.8514 1.3221 0.5699 0.0000
-1.1615 -0.6737 -1.5111 1.0000
0.8524 -0.7640 0.6008 2.0000
-1.3785 -0.5568 -1.4731 1.0000
0.8254 -0.6955 0.6435 2.0000
0.6259 1.2670 0.8078 0.0000
0.6808 -0.6635 0.5651 2.0000
0.9238 -0.6998 0.4702 2.0000
0.8298 -0.8205 1.0081 2.0000
-1.3955 -0.5599 -1.3543 1.0000
0.6959 1.4628 0.6370 0.0000
0.6283 1.2999 0.7619 0.0000
0.7533 -0.8082 0.7765 2.0000
0.8290 1.7140 0.8773 0.0000
-1.3710 -0.7787 -1.2437 1.0000
0.5416 1.3778 0.6633 0.0000
-1.5020 -0.5991 -1.2694 1.0000
